mev,hash,CTA,status,eoa,block_number,gas_price,gas_used,revenue,protocols,actions,contract,proxy_impl,inserted_at
14,0xd52edbb1b459879f2444f8dc40db69a3e7ba287140d0e5ab4ffe1e36fa62e599,,Success,0x2762c99f14e987ec71346e33735959b7d9180311,11042651,220000000000,420638,0,{},{},0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,0x398c39714e3c6f9f6f967bb81556e529db5078a9,2020-12-01T23:25:50.119869Z
11,0x7161265314fd1b9510d84e3383613326afa9350ba1de9b09719d168d4768924d,,Success,0x2886f28a2c58a3ddf7a4847ced88720125d63b80,11333652,170000100000,292615,0,{},{},0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x2538d9a296e3126aba549a328df0300d7b2ad372,2020-12-01T23:25:50.119869Z
9,0xba567876902f0e0a330dab35491dada605cf573148dfebe43376134470345a88,,Success,0x299db3a6e900681c2436417ef8d13d2af0531f7e,11093200,70018243879,217362,0,{},{},0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,0xaaf0e98629e639703dbf6133836bed7cdfc556cd,2020-12-01T23:25:50.119869Z
9,0x71d3743277a2960a20f721b45524021e8dd7eb25f202728ed2820c5ffa26f24d,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11002370,109000000000,264293,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x3a0691e78c34cd428bb78235715e097ed3165328794b5819ffc4702f21615f1c,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11002435,119000000000,248449,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0xca89ddddd22cc73c85834d18dd1dd4db95c2563beda0613b5be8f8bf7c075d52,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11002535,133000000000,248449,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
59,0x765849512b8c68d2834d3cb5f24ba42b8eacac76ff83cb514a1c69e98ca6f6b2,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11004557,40000000000,1442320,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
60,0xd213958c24c6d4ac5b92a986354a6553fc9ebec169aef1b9432202aa5e6f4ecc,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11010262,106000000000,1468167,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x0d52c9e4d23dd8deb01ef3c799f0b6a6fd4aab471183c60de1d8cdf2176d49a0,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11022308,119000000000,248413,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0xf3dfd042deb99942e0d8392988d12aeba3e5548d302ce45f02d3ef855c3ab034,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11022386,119000000000,248281,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x828c8442af09c190eb7f717c0e65b660d572531b094ed6d5459c560307d73a7a,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11070317,57000000000,248449,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
59,0x74c0a35dcd75403a7d89730208d3f013fb2c99f58a711775685f2e067c7d6445,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11070393,31000000000,1436472,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x086bbf574dd600ace487d940d6e7b7d504dfd21140636e86680895b9af26d3d7,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11070485,53000000000,248449,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x9e747620b6f62be0826a87a98e1ced91475971e445812a34a8c58ff3be31a16d,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11070578,29000000000,264341,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0xd94e0d255694b125c8dba8af5990c893e50a8562fbc014008cf9493cd23410a3,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11070672,23000000000,264341,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0xb360d4cbb97674d4a99fc8d0d2fbb96951ee02d896b37c6b641af4a8ac7d65e7,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11070973,23180000000,248449,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x0c851b7cd0f23346a599496f5b56fb22a318cabb9e374447b24c662f577b107b,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11071102,21000000000,248437,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0xfb629f164878919902d60ebf5be34c549771d6c7f21dc93f8f81e7aa24bff476,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11071197,21000000000,248257,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x73b8357f33882b08777c355dae93d74e2e12fe309928ad620b6c3af46486796a,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11071364,21000000000,248449,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x31ead8fb95feeaff3b4db2f09c14b6355960b148b31e2436153af2ddb364d1dc,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11071502,19000000000,248449,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0xce5465fa1978a1c27156fb66c1e06f72495b9668a4f47e04766bfd7325ad6e44,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11071719,18000000000,248437,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0xfb5b1b075e7f0336505fbc64c1f03d376c79ba5e712407c5c49d7f96688dc60d,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11072212,24000000000,248245,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
9,0x0a7502a32311eceff33d087108cf1ce026c50b88fc798f7b013cdd3c0ce8fd34,,Success,0x2b61a092b542d2304b23a7bc9ea4a125f17ad794,11072919,22000000000,228342,0,{},{},0x32a5a499684fd6e937b9dcbad4b05085edd12591,,2020-12-01T23:25:50.119869Z
